id,timestamp,x,y,z
-O3cCN0mewPg0bB3wr1N,2024-08-07 01:01:20,0,0.6714,0.9155
-O3cCN30tO04uSLkB5Zc,2024-08-07 01:01:20,-0.1221,0.6714,0.9766
-O3cCN56bstgS_N-x5uX,2024-08-07 01:01:20,-0.1831,0.6104,0.9155
-O3cCN74hAB_QxIWZOcm,2024-08-07 01:01:20,-0.1221,0.4883,0.4883
-O3cCN95MGs2t42KXW7w,2024-08-07 01:01:21,-0.061,0.4883,0.4272
-O3cCNB0ZARv_hc8nZs0,2024-08-07 01:01:21,-0.1221,0.5493,0.5493
-O3cCND0QuTXz5FnrhB1,2024-08-07 01:01:21,-0.2441,0.6104,0.9155
-O3cCNF-i2GYZk1wjwqL,2024-08-07 01:01:21,-0.1831,0.7324,1.0376
-O3cCNHHU3WFCw8apl2V,2024-08-07 01:01:21,-0.061,0.7935,0.9155
-O3cCNJRjp0zVrNxwGdI,2024-08-07 01:01:21,0.1221,0.9766,0.6104
-O3cCNLaITZafoyiLxqx,2024-08-07 01:01:21,0.1831,0.9155,0.5493
-O3cCNNos-DT7wHyro5I,2024-08-07 01:01:21,0.2441,0.8545,0.6104
-O3cCNPoFoKZhlkpIe49,2024-08-07 01:01:22,0.2441,0.6714,0.9155
-O3cCNRyNH2tBCEUPFUq,2024-08-07 01:01:22,0.2441,0.6714,1.0986
-O3cCNTwjYrz7xdhRspL,2024-08-07 01:01:22,0.2441,0.7324,1.1597
-O3cCNVyvH705j16HWZt,2024-08-07 01:01:22,0.3052,0.7935,0.9155
-O3cCNXz2g1jitIKQaxF,2024-08-07 01:01:22,0.3052,0.7935,0.7935
-O3cCN_5jfIG9DY4uzGn,2024-08-07 01:01:22,0.2441,0.8545,0.7935
-O3cCNbJGhETnq6FO_NW,2024-08-07 01:01:22,0.1831,1.0986,1.0376
-O3cCNdJdV_KP1Cdwd6-,2024-08-07 01:01:23,0.1221,1.1597,1.0986
-O3cCNfYkOZsYATfq4QF,2024-08-07 01:01:23,0.1221,1.0986,1.0376
-O3cCNhi_4HVlHLwwKdK,2024-08-07 01:01:23,0.1831,0.8545,0.6104
-O3cCNjeGErC9Ks9OoNM,2024-08-07 01:01:23,0.1831,0.8545,0.4883
-O3cCNlqcj77LbcRF-k_,2024-08-07 01:01:23,0.1221,0.9766,0.4883
-O3cCNoVszvB8QD-Lus3,2024-08-07 01:01:23,0,1.2207,0.7324
-O3cCNqVsGKe1m55zV-x,2024-08-07 01:01:23,0,1.0986,0.8545
-O3cCNsda8o6nIR7Dq8g,2024-08-07 01:01:24,0,1.0376,0.7935
